step,F3,F4,ave_F2F3,0_pixel,100_pixel,Proto_Male_pixel,Proto_Female_pixel,NonProto_Male_pixel,NonProto_Female_pixel,Proto_Male_percent,Proto_Female_percent,NonProto_Male_percent,NonProto_Female_percent
1,2466,3108,2787,699,95,686,692,692,692,2.152317881,1.158940397,1.158940397,1.158940397
2,2838,3573,3205.5,699,95,685,694,692,694,2.317880795,0.82781457,1.158940397,0.82781457
3,3265,4107,3686,699,95,616,688,667,684,13.74172185,1.821192053,5.298013245,2.483443709
4,3754,4717,4235.5,699,95,452,665,560,631,40.89403974,5.629139073,23.01324503,11.25827815
5,4314,5417,4865.5,699,95,254,556,387,495,73.67549669,23.67549669,51.65562914,33.77483444
6,4954,6219,5586.5,699,95,182,357,262,278,85.59602649,56.62251656,72.35099338,69.70198675
7,5689,7137,6413,699,95,134,145,157,155,93.54304636,91.7218543,89.73509934,90.06622517
8,6530,8191,7360.5,699,95,112,118,128,112,97.18543046,96.19205298,94.53642384,97.18543046
9,7500,9405,8452.5,699,95,113,113,132,113,97.01986755,97.01986755,93.87417219,97.01986755
